Point,Latitude,Longitude,Contexte,Période,Saison,NORNSV23,NORNSV24,NORNSV25,NORIFM20,NORIFM40,NORIFM60,NORIS400,NORIS700,NORIS1000
4034,43.5074,-1.369,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4034,43.5074,-1.369,RCP4.5,H1,3,9,1,0,7,0,0,23,1,0
4034,43.5074,-1.369,RCP4.5,H1,4,5,0,-999,2,0,0,18,1,-999
4035,43.5107,-1.2704,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4035,43.5107,-1.2704,RCP4.5,H1,3,16,2,0,8,0,0,22,1,0
4035,43.5107,-1.2704,RCP4.5,H1,4,7,1,-999,2,0,0,20,1,-999
4037,43.5171,-1.073,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4037,43.5171,-1.073,RCP4.5,H1,3,12,2,0,9,1,0,19,1,0
4037,43.5171,-1.073,RCP4.5,H1,4,7,0,-999,2,0,0,18,1,-999
4176,43.5758,-1.4725,RCP4.5,H1,2,2,0,-999,9,0,0,0,0,-999
4176,43.5758,-1.4725,RCP4.5,H1,3,24,15,10,49,12,1,23,1,0
4176,43.5758,-1.4725,RCP4.5,H1,4,19,8,-999,15,1,0,19,1,-999
4177,43.5792,-1.3737,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4177,43.5792,-1.3737,RCP4.5,H1,3,16,2,0,8,0,0,23,1,0
4177,43.5792,-1.3737,RCP4.5,H1,4,8,1,-999,2,0,0,18,1,-999
4178,43.5825,-1.2749,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4178,43.5825,-1.2749,RCP4.5,H1,3,16,2,0,8,0,0,22,1,0
4178,43.5825,-1.2749,RCP4.5,H1,4,7,1,-999,2,0,0,20,1,-999
4179,43.5858,-1.1761,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4179,43.5858,-1.1761,RCP4.5,H1,3,15,3,0,12,1,0,22,1,0
4179,43.5858,-1.1761,RCP4.5,H1,4,9,1,-999,3,0,0,19,1,-999
4180,43.589,-1.0773,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4180,43.589,-1.0773,RCP4.5,H1,3,14,3,0,13,1,0,20,1,0
4180,43.589,-1.0773,RCP4.5,H1,4,7,1,-999,2,0,0,18,1,-999
4181,43.592,-0.9784,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4181,43.592,-0.9784,RCP4.5,H1,3,14,3,0,12,1,0,20,1,0
4181,43.592,-0.9784,RCP4.5,H1,4,7,1,-999,2,0,0,18,1,-999
4182,43.595,-0.8796,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
