Code INSEE,Feu en été,Année
4001,0,2006
4004,0,2006
4005,0,2006
4006,0,2006
4007,0,2006
4008,0,2006
4009,0,2006
4012,0,2006
4013,0,2006
4016,0,2006
4017,0,2006
4018,0,2006
4019,0,2006
4020,0,2006
4021,0,2006
4022,0,2006
4023,0,2006
4024,0,2006
4025,0,2006
4026,0,2006
4027,0,2006
4028,0,2006
4030,0,2006
4031,0,2006
4032,0,2006
4033,0,2006
4034,0,2006
4035,0,2006
4036,0,2006
4037,0,2006
4039,0,2006
4040,0,2006
4041,0,2006
4042,0,2006
4043,0,2006
4045,0,2006
4046,0,2006
4047,0,2006
4049,0,2006
4050,0,2006
4051,0,2006
4053,0,2006
4054,0,2006
4055,0,2006
4057,0,2006
4058,0,2006
4059,0,2006
4061,0,2006
4062,0,2006
4063,0,2006
4065,0,2006
4066,0,2006
4067,0,2006
4068,0,2006
4069,0,2006
4070,0,2006
4072,0,2006
4073,0,2006
4074,0,2006
4075,0,2006
4076,0,2006
4077,0,2006
4079,0,2006
4081,0,2006
4084,0,2006
4085,0,2006
4086,0,2006
4087,0,2006
4088,0,2006
4090,0,2006
4091,0,2006
4092,0,2006
4093,0,2006
4094,0,2006
4095,0,2006
4096,0,2006
4097,0,2006
4099,0,2006
40001,0,2006
40002,0,2006
40003,0,2006
40004,0,2006
40005,0,2006
40006,1,2006
40007,0,2006
40008,0,2006
40009,0,2006
40011,0,2006
40012,0,2006
40013,0,2006
40014,1,2006
40015,0,2006
40016,0,2006
40017,0,2006
40018,0,2006
40019,0,2006
40020,0,2006
40021,1,2006
40022,0,2006
40023,0,2006
40024,0,2006
40025,0,2006
40026,0,2006
40027,0,2006
40028,0,2006
40029,0,2006
40030,0,2006
40031,0,2006
40032,0,2006
40033,0,2006
40034,0,2006
40035,0,2006
40036,1,2006
40037,1,2006
40038,0,2006
40039,0,2006
40040,0,2006
40041,0,2006
40042,0,2006
40043,1,2006
40044,0,2006
40046,1,2006
40047,0,2006
40048,0,2006
40049,0,2006
40050,1,2006
40051,1,2006
40052,1,2006
40053,0,2006
40054,0,2006
40055,0,2006
40056,0,2006
40057,0,2006
40058,0,2006
40059,0,2006
40060,1,2006
40061,0,2006
40062,0,2006
40063,0,2006
40064,0,2006
40065,0,2006
40066,0,2006
40067,0,2006
40068,0,2006
40069,0,2006
40070,0,2006
40071,0,2006
40072,0,2006
40073,0,2006
40074,0,2006
40075,1,2006
40076,0,2006
40077,0,2006
40078,0,2006
40079,0,2006
40080,1,2006
40081,0,2006
40082,0,2006
40083,0,2006
40084,0,2006
40085,1,2006
40086,0,2006
40087,0,2006
40088,0,2006
40089,0,2006
40090,0,2006
40091,0,2006
40092,0,2006
40093,0,2006
40094,1,2006
40095,0,2006
40096,0,2006
40097,0,2006
40098,0,2006
40099,0,2006
40100,0,2006
40101,0,2006
40102,0,2006
40103,0,2006
40104,0,2006
40105,1,2006
40106,0,2006
40107,1,2006
40108,0,2006
40109,0,2006
40110,0,2006
40111,0,2006
40112,0,2006
40113,0,2006
40114,1,2006
40115,0,2006
40116,0,2006
40117,0,2006
40118,0,2006
40119,0,2006
40120,0,2006
40121,0,2006
40122,1,2006
40123,1,2006
40124,0,2006
40125,0,2006
40126,0,2006
40127,0,2006
40128,0,2006
40129,0,2006
40130,0,2006
40131,0,2006
40132,0,2006
40133,0,2006
40134,1,2006
40135,1,2006
40136,0,2006
40137,0,2006
40138,0,2006
40139,0,2006
40140,0,2006
40141,0,2006
40142,1,2006
40143,1,2006
40144,0,2006
40145,0,2006
40146,0,2006
40147,0,2006
40148,0,2006
40149,1,2006
40150,1,2006
40151,1,2006
40152,1,2006
40153,0,2006
40154,0,2006
40155,1,2006
40156,0,2006
40157,1,2006
40158,1,2006
40159,0,2006
40160,0,2006
40161,0,2006
40162,1,2006
40163,1,2006
40164,1,2006
40165,0,2006
40166,0,2006
40167,1,2006
40168,1,2006
40169,1,2006
40170,1,2006
40171,1,2006
40172,0,2006
40173,0,2006
40174,0,2006
40175,0,2006
40176,0,2006
40177,0,2006
40178,1,2006
40179,0,2006
40180,0,2006
40181,0,2006
40182,1,2006
40183,0,2006
40184,1,2006
40185,0,2006
40186,0,2006
40187,0,2006
40188,0,2006
40189,0,2006
40190,0,2006
40191,0,2006
40192,1,2006
40193,0,2006
40194,0,2006
40195,0,2006
40196,0,2006
40197,1,2006
40198,0,2006
40199,0,2006
40200,0,2006
40201,0,2006
40202,0,2006
40203,0,2006
40204,0,2006
40205,0,2006
40206,0,2006
40207,0,2006
40208,0,2006
40209,0,2006
40210,1,2006
40211,0,2006
40212,0,2006
40213,0,2006
40214,0,2006
40215,0,2006
40216,0,2006
40217,1,2006
40218,0,2006
40219,0,2006
40220,0,2006
40221,0,2006
40222,0,2006
40223,0,2006
40224,0,2006
40225,0,2006
40226,0,2006
40227,1,2006
40228,0,2006
40229,1,2006
40230,0,2006
40231,0,2006
40232,0,2006
40233,0,2006
40234,0,2006
40235,0,2006
40236,0,2006
40237,0,2006
40238,0,2006
40239,0,2006
40240,0,2006
40242,0,2006
40243,1,2006
40244,1,2006
40245,0,2006
40246,1,2006
40247,0,2006
40248,0,2006
40249,0,2006
40250,0,2006
40251,0,2006
40252,0,2006
40253,0,2006
40254,0,2006
40255,0,2006
40256,0,2006
40257,1,2006
40258,0,2006
40259,0,2006
40260,0,2006
40261,0,2006
40262,1,2006
40263,0,2006
40264,0,2006
40265,0,2006
40266,1,2006
40267,1,2006
40268,0,2006
40269,0,2006
40270,0,2006
40271,0,2006
40272,0,2006
40273,0,2006
40274,0,2006
40275,0,2006
40276,0,2006
40277,0,2006
40278,0,2006
40279,1,2006
40280,0,2006
40281,1,2006
40282,0,2006
40283,1,2006
40284,0,2006
40285,0,2006
40286,0,2006
40287,1,2006
40288,1,2006
40289,0,2006
40290,0,2006
40291,0,2006
40292,0,2006
40293,0,2006
40294,0,2006
40295,1,2006
40296,0,2006
