,maille_safran,maille_drias,latitude,longitude,altitude,departement,region_avant_2016,region2016,nature,clc_211,clc_221,clc_222,clc_231,clc_241,clc_242,clc_311,clc_312,clc_313,rupro,rupromin,rupromax,pro,hpf,hcc,hsat
6423,7577,6181,44.5917195058413,-1.23910773681235,28,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Limite côtière,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,126.7,126.7,126.7,80.0,4.46,20.3,37.99
6424,7578,6182,44.5949461823971,-1.13851870466052,18,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,2.63,0.0,55.08,2.61,122.39,113.83,126.7,77.0,4.5,20.4,38.05
6425,7579,6183,44.5980808024666,-1.03791826352354,12,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,1.67,0.0,0.0,0.0,0.0,0.0,2.77,44.82,0.0,114.97,113.83,113.83,72.0,4.57,20.59,38.16
6504,7659,6038,44.519846827887,-1.23453412101103,32,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Limite côtière,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.62,0.0,115.71,126.7,126.7,74.0,4.07,18.54,34.7
6505,7660,6039,44.5230692842895,-1.13407322853763,24,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.97,0.29,80.23,113.83,126.7,54.0,2.93,13.28,24.75
6506,7661,6040,44.5261999154532,-1.03360093463863,29,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,8.08,0.0,0.0,0.0,0.0,0.0,0.38,23.39,0.3,115.07,113.83,113.83,72.0,4.55,20.51,38.03
6507,7662,6041,44.5292387077411,-0.933117425771805,26,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,4.27,0.0,0.0,0.0,0.0,0.0,3.79,47.3,2.12,159.3,113.83,183.9,103.0,4.32,19.89,37.75
6508,7663,6042,44.5321856727235,-0.832622971147811,39,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,1.37,11.33,52.39,4.3,183.9,183.9,183.9,120.0,4.18,19.5,37.53
6509,7664,6043,44.5350407746636,-0.73211796071851,65,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,0.56,4.39,66.6,1.11,181.86,183.9,183.9,119.0,4.19,19.53,37.55
6510,7665,6044,44.5378038432566,-0.631602713892666,64,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.17,0.0,0.0,0.0,0.0,1.27,0.23,50.22,8.45,133.49,113.83,183.9,85.0,4.47,20.3,37.99
6511,7666,6045,44.5404747725307,-0.531077586130395,73,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.6,0.0,0.0,0.0,0.0,1.32,0.4,51.66,6.02,113.83,113.83,113.83,71.0,4.58,20.61,38.17
6512,7667,6046,44.543053638429,-0.430543117166325,54,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,9.89,0.0,1.42,0.0,1.77,13.72,47.34,6.17,123.02,113.83,113.83,76.0,4.94,21.03,38.22
6513,7668,6047,44.5455404936093,-0.329999798701793,34,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,2.03,39.94,0.41,4.17,0.0,6.21,23.16,15.12,4.36,198.57,202.65,228.66,115.0,16.61,33.79,42.08
6514,7669,6048,44.5479353279067,-0.229448008017075,33,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,9.63,34.12,0.61,4.11,0.0,10.77,4.21,11.16,3.56,214.31,202.65,228.66,120.0,17.95,35.8,42.33
6515,7670,6049,44.5502381689983,-0.128888019163022,32,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,42.76,4.38,0.0,5.12,0.0,20.06,12.27,4.46,2.8,217.87,202.65,228.66,120.0,17.18,35.33,41.91
6516,7671,6050,44.5524491265571,-0.0283200847323341,40,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,56.89,0.34,0.0,5.71,0.0,19.1,3.49,0.0,0.12,218.98,202.65,228.66,120.0,16.92,35.18,41.78
6517,7672,6051,44.5545683227568,0.0722554911636892,49,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,48.07,2.67,1.24,0.74,0.0,25.04,9.91,0.0,0.0,210.3,192.05,228.66,119.0,18.73,36.37,42.8
6518,7673,6052,44.5565956311449,0.172838550212739,76,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,46.59,4.6,0.28,2.37,0.0,28.41,11.43,0.0,0.54,195.24,192.05,202.65,117.0,21.8,38.43,44.56
6585,7741,5895,44.4479765782249,-1.22997226092764,28,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Limite côtière,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91,0.0,109.86,126.7,126.7,71.0,3.68,16.78,31.49
6586,7742,5896,44.4511948552733,-1.12963919602146,23,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68,8.14,98.27,113.83,183.9,67.0,2.77,12.71,24.07
6587,7743,5897,44.454321535699,-1.0292947274197,36,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,16.46,0.0,0.0,0.0,0.0,1.18,1.52,41.15,0.59,115.63,113.83,113.83,72.0,4.55,20.52,38.05
6588,7744,5898,44.4573565415852,-0.928939088650661,43,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,12.95,0.0,0.0,0.0,0.0,0.0,0.0,41.73,0.0,127.15,113.83,183.9,80.0,4.5,20.4,38.05
6589,7745,5899,44.4602997575764,-0.828572595983572,35,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,5.48,0.0,0.0,0.0,0.0,0.27,8.75,46.16,5.4,176.65,113.83,183.9,115.0,4.22,19.61,37.6
6590,7746,5900,44.4631510912401,-0.728195709416494,57,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,3.91,0.0,0.0,0.0,0.0,1.09,0.58,45.39,4.59,154.97,113.83,183.9,100.0,4.34,19.96,37.79
6591,7747,5901,44.4659104871279,-0.627808764911176,74,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,3.05,0.0,0.0,0.43,0.0,1.34,0.0,43.87,7.2,137.69,113.83,183.9,88.0,4.44,20.23,37.95
6592,7748,5902,44.4685779353325,-0.527412020708214,65,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,2.1,0.0,0.0,0.4,0.0,1.29,1.22,59.31,8.86,145.81,113.83,183.9,93.0,4.4,20.1,37.88
6593,7749,5903,44.4711534807372,-0.427005917529993,42,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.28,0.0,0.0,1.79,0.0,1.83,14.56,60.04,10.41,194.5,183.9,228.66,119.0,7.22,23.62,38.43
6594,7750,5904,44.473637146592,-0.326590934842607,73,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,3.67,1.14,0.0,7.03,0.0,7.56,23.94,41.54,6.73,196.82,183.9,228.66,120.0,8.02,24.41,38.74
6595,7751,5905,44.4760288967251,-0.226167477869518,93,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,5.69,5.44,0.0,11.93,0.0,23.68,19.72,13.05,14.1,202.94,202.65,202.65,120.0,20.2,37.11,43.59
6596,7752,5906,44.4783287525725,-0.125735852966116,79,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,22.21,0.09,1.33,20.38,0.0,11.27,21.96,9.3,8.78,205.34,202.65,228.66,120.0,19.89,37.0,43.39
6597,7753,5907,44.4805368474691,-0.0252963370204928,75,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,42.73,4.54,0.05,13.36,0.0,9.42,23.45,0.05,4.09,200.3,202.65,202.65,118.0,20.44,37.41,43.77
6598,7754,5908,44.4826532950709,0.0751507744759218,38,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,53.42,7.22,1.36,0.0,0.0,21.74,8.24,0.05,0.0,207.1,202.65,228.66,117.0,18.74,36.39,42.87
6599,7755,5909,44.4846779515104,0.175605354476114,33,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,51.85,0.99,0.41,0.4,0.0,12.13,2.9,0.57,0.06,218.51,202.65,228.66,120.0,17.03,35.24,41.83
6666,7823,5752,44.3761089054273,-1.22542208038481,28,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Limite côtière,0.0,0.0,0.0,0.0,0.0,0.0,0.67,51.02,1.87,113.91,126.7,183.9,74.0,3.64,16.66,31.35
6667,7824,5753,44.3793230043996,-1.12521654956422,32,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.52,0.0,0.53,2.94,36.2,3.95,142.08,113.83,183.9,93.0,3.82,17.59,33.42
6668,7825,5754,44.3824457383326,-1.02499962126835,48,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,13.32,0.0,0.0,0.0,0.0,0.0,0.0,47.83,1.64,137.37,113.83,183.9,87.0,4.44,20.23,37.96
6669,7826,5755,44.3854769580255,-0.924771573217139,54,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,46.93,0.0,0.0,0.0,0.0,0.13,0.57,20.67,0.0,115.29,113.83,113.83,72.0,4.57,20.58,38.16
6670,7827,5756,44.3884164112828,-0.824532757804312,48,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,2.57,0.0,0.0,0.0,0.0,1.71,5.15,34.6,0.8,167.54,113.83,183.9,109.0,4.27,19.76,37.68
6671,7828,5757,44.3912639844986,-0.724283612332477,50,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,5.54,0.0,0.0,0.0,0.0,2.03,7.25,39.04,8.07,163.19,113.83,183.9,106.0,4.3,19.83,37.72
6672,7829,5758,44.3940197056465,-0.624024507843836,65,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,29.2,0.0,0.0,0.0,0.0,1.09,0.23,37.81,4.05,127.6,113.83,183.9,81.0,4.5,20.39,38.04
6673,7830,5759,44.3966836181902,-0.52375574364606,70,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,25.56,0.0,0.0,0.0,0.0,0.0,3.98,45.83,3.93,153.59,113.83,183.9,99.0,4.35,19.98,37.81
6674,7831,5760,44.3992557950992,-0.423477681321524,62,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,2.43,0.0,0.0,0.0,0.0,0.46,3.8,66.07,5.3,183.9,183.9,183.9,120.0,4.18,19.5,37.53
6675,7832,5761,44.4017362827403,-0.323190739029951,68,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,9.15,4.29,44.09,30.93,197.97,183.9,228.66,120.0,7.53,24.02,38.51
6676,7833,5762,44.4041250044856,-0.222895328469991,104,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,2.76,0.0,0.0,8.56,0.0,27.43,4.49,22.88,20.01,205.19,202.65,228.66,120.0,18.51,35.61,42.83
6677,7834,5763,44.4064218989407,-0.122591778964405,118,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,6.74,0.0,0.0,6.2,0.0,20.24,5.73,32.74,18.97,202.49,202.65,202.65,120.0,19.31,36.18,43.23
6678,7835,5764,44.4086270820586,-0.0222803421365202,112,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,14.32,4.15,0.0,14.21,0.0,22.39,14.6,8.13,15.65,149.24,123.89,202.65,93.0,25.31,41.23,47.26
6679,7836,5765,44.4107406814307,0.0780387527449684,89,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,40.01,0.55,0.95,10.68,0.0,17.25,14.85,1.42,7.01,145.29,123.89,228.66,90.0,25.36,41.36,47.4
6680,7837,5766,44.4127625847315,0.17836536377321,54,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,51.37,0.0,0.0,3.98,0.0,8.84,25.23,0.2,2.58,206.29,202.65,228.66,119.0,19.55,36.81,43.22
6748,7906,5609,44.3042439471256,-1.22088350428151,24,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.5,0.0,0.0,0.0,0.0,1.88,0.0,56.62,5.95,121.31,126.7,183.9,78.0,3.95,18.06,33.94
6749,7907,5610,44.3074538394455,-1.12080521445364,30,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,4.74,0.0,0.0,0.0,0.0,0.11,3.31,51.97,1.75,126.18,113.83,183.9,82.0,3.89,17.76,33.41
6750,7908,5611,44.3105726018665,-1.02071554016627,45,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,8.19,0.0,0.0,0.0,0.0,0.57,5.93,53.35,0.0,131.74,113.83,183.9,84.0,4.48,20.32,38.01
6751,7909,5612,44.3136000231849,-0.920614784190859,60,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,16.16,0.0,0.0,0.0,0.0,4.17,2.24,32.3,0.71,114.64,113.83,113.83,72.0,4.57,20.59,38.16
6752,7910,5613,44.3165356909668,-0.820503307031729,61,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,24.5,0.0,0.0,0.0,0.0,0.47,0.0,32.11,2.92,140.26,113.83,183.9,89.0,4.43,20.19,37.93
6753,7911,5614,44.319379501686,-0.720381542085301,58,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,21.43,0.0,0.0,0.0,0.0,0.14,1.59,50.8,6.65,152.27,113.83,183.9,98.0,4.36,20.0,37.82
6754,7912,5615,44.3221315696562,-0.620249914497606,69,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.71,0.0,0.0,0.0,0.0,1.11,0.94,47.9,8.11,163.42,113.83,183.9,106.0,4.3,19.82,37.72
6755,7913,5616,44.3247919375485,-0.520108773031047,82,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,22.09,0.0,0.0,0.0,0.0,0.16,0.0,57.88,6.57,149.14,113.83,183.9,96.0,4.38,20.05,37.85
6756,7914,5617,44.3273607014959,-0.419958426317666,94,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,12.98,0.0,0.0,0.0,0.0,0.0,0.26,63.87,5.89,169.81,113.83,183.9,110.0,4.26,19.72,37.66
6757,7915,5618,44.3298379907793,-0.319799215416268,86,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,0.59,0.34,69.51,12.7,183.34,183.9,183.9,119.0,4.56,20.03,37.66
6758,7916,5619,44.332223726834,-0.219631537963637,84,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,1.89,0.0,0.0,1.3,0.0,3.43,6.13,70.46,9.88,202.17,183.9,228.66,120.0,8.53,25.37,38.8
6759,7917,5620,44.334517684717,-0.119455735093396,117,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,4.13,0.0,4.35,4.3,65.66,4.71,187.23,183.9,183.9,120.0,5.48,21.13,37.97
6760,7918,5621,44.3367199129302,-0.0192720168109099,133,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,1.09,0.0,0.0,7.33,0.0,4.77,0.52,55.25,19.83,151.04,123.89,183.9,98.0,17.03,32.4,43.79
6761,7919,5622,44.3388306176494,0.0809194580103904,89,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,21.24,0.0,0.0,14.65,0.0,19.82,4.62,8.24,20.45,133.67,123.89,123.89,84.0,26.0,41.74,47.97
6762,7920,5623,44.3408497576119,0.181118502233639,98,47 - Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,Territoire,58.33,0.0,0.0,4.62,0.0,6.86,16.98,1.69,2.67,179.92,123.89,228.66,107.0,22.19,38.84,45.08
6830,7991,5466,44.2323818230853,-1.21635647461258,16,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,1.18,7.03,57.03,3.55,150.79,126.7,183.9,97.0,4.34,19.96,37.8
6831,7992,5467,44.2355874820105,-1.11640512705419,31,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,1.13,10.81,53.56,0.0,167.32,113.83,183.9,108.0,4.27,19.76,37.68
6832,7993,5468,44.2387022297936,-1.01644241385937,53,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.8,0.0,0.0,0.0,0.0,1.55,3.62,39.22,0.1,143.2,113.83,183.9,92.0,4.41,20.14,37.9
6833,7994,5469,44.2417258062493,-0.916468651187017,69,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,21.43,0.0,0.0,0.0,0.0,2.53,1.68,19.31,1.73,113.83,113.83,113.83,71.0,4.58,20.61,38.17
6834,7995,5470,44.2446576487232,-0.816484179108315,67,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,19.28,0.0,0.0,0.0,0.0,1.94,0.69,28.25,7.2,145.53,113.83,183.9,93.0,4.4,20.11,37.88
6835,7996,5471,44.2474977077895,-0.716489448172753,72,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,11.85,0.0,0.0,0.0,0.0,2.13,0.0,28.08,0.59,129.1,113.83,183.9,82.0,4.49,20.37,38.03
6836,7997,5472,44.2502461745913,-0.61648495360094,87,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,9.26,0.0,0.0,0.0,0.0,0.0,0.0,23.63,1.9,124.77,113.83,183.9,79.0,4.52,20.43,38.07
6837,7998,5473,44.2529030233163,-0.516471093880655,90,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,1.3,0.0,0.0,0.0,0.0,0.52,1.6,41.28,7.83,183.9,183.9,183.9,120.0,4.18,19.5,37.53
6838,7999,5474,44.2554683017425,-0.41644816121215,105,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.96,0.0,0.0,0.42,0.0,0.0,0.03,20.6,1.97,128.05,113.83,183.9,81.0,4.5,20.38,38.04
6839,8000,5475,44.2579422834089,-0.316416401286695,111,33 - Gironde,Aquitaine,Nouvelle-Aquitaine,Territoire,14.34,0.0,0.0,0.0,0.0,0.0,0.0,32.61,1.7,129.43,113.83,183.9,82.0,4.49,20.36,38.03
