maille_safran,Année,Proba de feu en été
7741,2023,0.53
7742,2023,0.5
7743,2023,0.5
7823,2023,0.43
7824,2023,0.52
7825,2023,0.52
7826,2023,0.53
7827,2023,0.5
7828,2023,0.53
7829,2023,0.52
7906,2023,0.43
7907,2023,0.43
7908,2023,0.53
7909,2023,0.52
7910,2023,0.53
7911,2023,0.52
7912,2023,0.51
7913,2023,0.48
7991,2023,0.44
7992,2023,0.51
7993,2023,0.52
7994,2023,0.53
7995,2023,0.53
7996,2023,0.52
7997,2023,0.54
7998,2023,0.488
7999,2023,0.498
8001,2023,0.48
8082,2023,0.43
8083,2023,0.57
8084,2023,0.54
8085,2023,0.57
8086,2023,0.59
8087,2023,0.59
8088,2023,0.54
8089,2023,0.498
8090,2023,0.498
8091,2023,0.47
8092,2023,0.48
8172,2023,0.5
8173,2023,0.44
8174,2023,0.57
8175,2023,0.6
8176,2023,0.62
8177,2023,0.61
8178,2023,0.61
8179,2023,0.56
8180,2023,0.53
8181,2023,0.52
8182,2023,0.5
8183,2023,0.52
8184,2023,0.46
8185,2023,0.5
8186,2023,0.53
8263,2023,0.57
8264,2023,0.56
8265,2023,0.525
8266,2023,0.535
8267,2023,0.515
8268,2023,0.61
8269,2023,0.57
8270,2023,0.56
8271,2023,0.54
8272,2023,0.54
8273,2023,0.54
8274,2023,0.51
8275,2023,0.47
8276,2023,0.46
8355,2023,0.57
8356,2023,0.57
8357,2023,0.545
8358,2023,0.535
8359,2023,0.515
8360,2023,0.53
8361,2023,0.49
8362,2023,0.5
8363,2023,0.56
8364,2023,0.54
8365,2023,0.55
8366,2023,0.51
8367,2023,0.47
8368,2023,0.49
8446,2023,0.56
8447,2023,0.585
8448,2023,0.545
8449,2023,0.545
8450,2023,0.505
8451,2023,0.48
8452,2023,0.54
8453,2023,0.49
8454,2023,0.5
8455,2023,0.54
8456,2023,0.54
8536,2023,0.58
8537,2023,0.58
8538,2023,0.515
8539,2023,0.495
8540,2023,0.485
8541,2023,0.485
8542,2023,0.475
8543,2023,0.52
8544,2023,0.5
8545,2023,0.5
8546,2023,0.6
8547,2023,0.55
8626,2023,0.58
8627,2023,0.545
8628,2023,0.515
8629,2023,0.485
8630,2023,0.475
8631,2023,0.4875
8632,2023,0.4975
8633,2023,0.5075
8634,2023,0.52
8635,2023,0.52
8636,2023,0.57
8637,2023,0.58
8716,2023,0.535
8717,2023,0.505
8718,2023,0.485
8719,2023,0.485
8720,2023,0.475
8721,2023,0.53
8722,2023,0.52
8723,2023,0.51
8724,2023,0.53
8725,2023,0.53
8726,2023,0.51
8727,2023,0.52
8804,2023,0.505
8805,2023,0.535
8806,2023,0.555
8807,2023,0.565
8808,2023,0.6
8809,2023,0.56
8810,2023,0.57
8811,2023,0.51
8812,2023,0.53
8813,2023,0.49
8814,2023,0.52
8815,2023,0.52
8893,2023,0.505
8894,2023,0.545
8896,2023,0.56
7741,2024,0.4575
7742,2024,0.45
7743,2024,0.53
7823,2024,0.4675
7824,2024,0.48
7825,2024,0.5
7826,2024,0.49
7827,2024,0.5275
7828,2024,0.5275
7829,2024,0.5175
7906,2024,0.4675
7907,2024,0.4675
7908,2024,0.5075
7909,2024,0.5175
7910,2024,0.4975
7911,2024,0.4575
7912,2024,0.4875
7913,2024,0.4775
7991,2024,0.4775
7992,2024,0.4975
7993,2024,0.5075
7994,2024,0.5275
7995,2024,0.5075
7996,2024,0.5275
7997,2024,0.4575
7998,2024,0.4875
7999,2024,0.4975
8001,2024,0.4575
